Model,MLI,SD,AG,MSE,PSNR
APGFusion,65.493737,80.606306,9.265437,0.041647,14.338886
ATDFusion,61.657093,77.440249,7.368823,0.039310,14.724630
CDDFuse,65.715962,80.773907,8.755505,0.041317,14.404872
CMMDL,73.225794,85.093897,9.215803,0.047484,13.759388
DATFuse,76.353381,69.765584,6.967750,0.042824,13.826602
DRMF,66.159695,77.583926,7.254345,0.046539,14.027898
DeDNet,51.867760,31.854407,3.276073,0.042710,14.188288
Diff-IF,69.138762,84.896943,9.059513,0.048821,13.904231
FATFusion,53.522291,69.633812,7.410111,0.054956,17.289752
FRAC-HCM,50.269372,61.028304,5.031794,0.031057,15.281136
GeSeNet,69.444538,81.928741,8.758112,0.044240,14.309661
IGNet,45.400052,51.780798,5.844207,0.032379,15.043425
LKC-FUNet,78.367264,87.865595,7.274510,0.054653,13.204922
LRFNet,55.785273,66.849185,6.921875,0.036987,16.291441
LWNet,63.542708,76.345248,7.116868,0.036027,14.939366
MATR,51.694328,50.547752,5.556038,0.048617,18.454792
MDHU-fusion,73.127533,49.109867,5.857568,0.036673,14.399044
MMIF-DDFM,52.738893,60.686686,4.908588,0.025838,15.967055
MMIF-INet,70.833642,86.783878,7.634432,0.048030,14.739048
MUFusion,0.195599,0.395108,0.052584,0.120671,9.471478
PSLPT,46.010062,52.786431,4.893308,0.029025,16.053571
SD-Fuse,52.896479,64.609005,6.187134,0.034808,15.337840
SWTSWR,77.827557,43.013153,5.141574,0.044742,13.630957
SwinFusion,69.436248,85.626012,7.610768,0.047492,14.125963
TSFI-Fusion,77.562765,85.241186,7.862237,0.051541,13.751747
UUD-Fusion,71.974070,74.762166,7.165257,0.041482,14.142803
YDTR,83.353800,59.879915,6.041813,0.046589,13.813991
