Model,MLI,SD,AG,MSE,PSNR
APGFusion,81.938136,90.298518,11.704068,0.054209,15.852169
ATDFusion,56.783499,67.144446,8.843903,0.040268,15.179709
CDDFuse,81.309900,89.534631,11.562108,0.054116,16.526830
CENet,86.351224,91.117659,11.901689,0.062391,15.740014
CM-CSAMFNet,83.792622,90.320899,10.760194,0.059140,16.831379
CMMDL,82.345500,87.466145,11.410416,0.053702,15.861761
DATFuse,82.623031,74.163438,11.358026,0.048347,14.061792
DeDNet,55.350737,31.981020,4.345992,0.058321,12.391276
Diff-IF,81.039970,88.915805,11.442445,0.053428,15.896728
FATFusion,45.744910,80.590997,3.241607,0.057113,17.625528
FRAC-HCM,97.247716,42.377635,5.415790,0.067470,12.275297
GeSeNet,80.517537,85.105169,11.010541,0.051120,15.965520
IGNet,54.757806,58.597344,7.337062,0.032686,14.929705
LKC-FUNet,82.791757,88.742546,10.582163,0.055791,16.194007
LRFNet,56.920913,66.636769,7.842855,0.030784,15.783507
LWNet,75.506852,82.220087,9.935926,0.044465,16.498766
MATR,46.269393,58.280455,2.453109,0.048723,17.750699
MMIF-DDFM,63.141952,74.606134,7.107677,0.028908,15.519902
MMIF-INet,64.832577,76.655854,9.718189,0.035897,15.483511
PSLPT,53.979958,65.260743,6.134098,0.028572,15.617303
SD-Fuse,71.254089,80.084593,9.921336,0.046030,18.106645
SWTSWR,75.184307,82.403548,11.120149,0.054392,31.274279
SwinFusion,80.681578,89.551990,11.085833,0.052149,15.836481
TSFI-Fusion,86.028734,89.226094,10.195448,0.053552,14.533105
UUD-Fusion,65.652887,74.914505,6.602421,0.031076,15.156723
YDTR,97.111809,69.450671,8.219165,0.055346,13.322376
