Model,MLI,SD,AG,MSE,PSNR
APGFusion,49.033435,62.365999,7.127754,0.017318,21.902100
CDDFuse,46.760824,60.285350,6.957819,0.017745,26.524629
CENet,55.971165,68.183525,7.548587,0.025191,18.797332
CM-CSAMFNet,61.315366,75.196418,6.532750,0.031531,16.484415
CMMDL,58.117609,68.330077,7.252652,0.024009,18.051821
DATFuse,60.927095,54.715738,6.311301,0.019743,18.000801
DeDNet,51.868034,33.048383,3.562338,0.021054,16.865206
Diff-IF,48.456247,61.141934,7.040885,0.016784,22.520313
FATFusion,38.178331,52.166432,2.351509,0.017878,20.764087
FRAC-HCM,65.934213,38.768854,4.096990,0.024622,16.662439
GeSeNet,51.833038,62.156466,6.888646,0.017634,20.573704
IGNet,42.853284,42.179765,4.761623,0.011756,19.605447
LKC-FUNet,55.595277,68.895306,6.807638,0.023837,18.457902
LRFNet,54.093121,68.393154,6.749084,0.021498,18.659439
LWNet,46.355699,58.291937,6.260876,0.013947,21.747491
MATR,39.062770,37.386953,1.802640,0.017932,21.126457
MMIF-DDFM,49.772467,62.035541,4.969706,0.015071,18.990957
MMIF-INet,53.411488,67.604351,6.628313,0.020733,17.865307
PSLPT,37.634823,46.588523,4.037680,0.008968,20.733924
SD-Fuse,46.094871,58.617087,6.282058,0.015040,21.689216
SWTSWR,46.268215,59.041607,6.879628,0.017674,31.697009
TSFI-Fusion,54.919642,63.238471,6.378163,0.018517,19.234860
UUD-Fusion,51.958762,59.461018,4.146945,0.015604,18.495243
YDTR,64.866336,38.504700,3.999981,0.022045,16.776515
